profile,num_found,num_no_diff,num_error,target_recovery_rate,contains_incorrect_variable,min_num_exps,max_num_exps,mean_num_exps,min_runtime,max_runtime,mean_runtime,min_true_var,max_true_var,mean_true_var,min_true_val,max_true_val,mean_true_val,min_real_var,max_real_var,mean_real_var
frustrated,47,3,0,0.09 (0.28),46,4.0,5.0,4.49 (0.51),2.3694,13.1847,4.5870 (1.5798),0.0,0.25,0.02 (0.07),0.0,0.0,0.00 (0.00),0.0,1.0,0.10 (0.20)
no_attention,50,0,0,0.58 (0.50),21,4,6,5.36 (0.83),2.5265,7.0329,4.0845 (1.1038),0.0,1.0,0.64 (0.44),0.0,1.0,0.63 (0.36),0.0,1.0,0.66 (0.44)
no_reactivity,49,1,0,0.10 (0.31),47,3.0,5.0,4.24 (0.48),2.3560,6.9627,4.1020 (1.1642),0.0,1.0,0.17 (0.25),0.0,0.5,0.07 (0.16),0.0,1.0,0.19 (0.27)
no_memory,49,0,1,0.02 (0.14),47,4.0,6.0,4.41 (0.54),2.4995,7.0166,4.5762 (1.1393),0.0,0.25,0.05 (0.09),0.0,0.0,0.00 (0.00),0.0,1.0,0.10 (0.22)
All,195,4,1,0.20 (0.40),161,3.0,6.0,4.63 (0.74),2.3560,13.1847,4.3336 (1.2712),0.0,1.0,0.22 (0.36),0.0,1.0,0.35 (0.40),0.0,1.0,0.27 (0.38)
