profile,num_found,num_no_diff,num_error,target_recovery_rate,contains_incorrect_variable,min_num_exps,max_num_exps,mean_num_exps,min_runtime,max_runtime,mean_runtime,min_true_var,max_true_var,mean_true_var,min_true_val,max_true_val,mean_true_val,min_real_var,max_real_var,mean_real_var
frustrated,46,3,1,0.02 (0.15),46,2.0,4.0,2.78 (0.47),1.4192,4.3452,2.5627 (0.5808),0.0,0.3333333333333333,0.01 (0.05),0.0,0.0,0.00 (nan),0.0,0.5,0.05 (0.13)
no_attention,48,0,2,0.19 (0.39),46,1.0,3.0,2.46 (0.58),0.9969,3.3236,2.1751 (0.6335),0.0,1.0,0.10 (0.24),0.0,1.0,0.37 (0.37),0.0,1.0,0.10 (0.24)
no_reactivity,49,1,0,0.04 (0.20),49,2.0,3.0,2.33 (0.47),0.9586,3.3039,2.2309 (0.5487),0.0,0.5,0.02 (0.10),0.0,0.0,0.00 (0.00),0.0,0.5,0.02 (0.10)
no_memory,47,0,3,0.00 (0.00),47,2.0,3.0,2.64 (0.49),1.3921,3.5461,2.4354 (0.5136),0.0,0.5,0.03 (0.11),0.0,0.0,0.00 (0.00),0.0,0.5,0.05 (0.15)
All,190,4,6,0.06 (0.24),188,1.0,4.0,2.55 (0.53),0.9586,4.3452,2.3477 (0.5874),0.0,1.0,0.04 (0.15),0.0,1.0,0.22 (0.33),0.0,1.0,0.06 (0.16)
