profile,num_found,num_no_diff,num_error,target_recovery_rate,contains_incorrect_variable,min_num_exps,max_num_exps,mean_num_exps,min_runtime,max_runtime,mean_runtime,min_true_var,max_true_var,mean_true_var,min_true_val,max_true_val,mean_true_val,min_real_var,max_real_var,mean_real_var
frustrated,46,3,1,0.93 (0.25),8,1.0,8.0,4.15 (1.44),11.9767,31.4370,21.5169 (4.6580),0.0,1.0,0.28 (0.21),0.0,1.0,0.20 (0.26),0.6666666666666666,1.0,0.96 (0.09)
no_attention,41,0,9,0.66 (0.48),5,2.0,7.0,5.05 (1.36),14.1205,38.0558,25.1152 (6.4638),0.25,1.0,0.84 (0.18),0.0,1.0,0.38 (0.35),0.75,1.0,0.97 (0.08)
no_reactivity,46,1,3,0.41 (0.50),12,3.0,9.0,4.24 (1.14),13.6786,65.0887,24.6960 (8.2316),0.0,1.0,0.58 (0.29),0.0,0.75,0.19 (0.24),0.0,1.0,0.92 (0.18)
no_memory,46,0,4,0.13 (0.34),6,1.0,7.0,4.17 (1.42),12.6458,39.9523,24.0665 (7.2201),0.0,1.0,0.47 (0.25),0.0,0.5,0.07 (0.13),0.3333333333333333,1.0,0.94 (0.16)
All,179,4,17,0.53 (0.50),31,1.0,9.0,4.39 (1.38),11.9767,65.0887,23.8133 (6.8669),0.0,1.0,0.53 (0.31),0.0,1.0,0.21 (0.28),0.0,1.0,0.95 (0.14)
