profile,num_found,num_no_diff,num_other,target_recovery_rate,min_num_exps,max_num_exps,mean_num_exps,min_runtime,max_runtime,mean_runtime,min_num_cfx,max_num_cfx,mean_num_cfx
frustrated,47,3,0,1.0,1,7,1.13 (0.88),0.6752,1.3029,0.7122 (0.0891),396,545,399.49 (21.69)
no_attention,50,0,0,1.0,5,21,11.22 (4.35),0.0413,0.8840,0.5464 (0.4033),122,449,321.58 (159.37)
no_reactivity,49,1,0,1.0,3,37,7.31 (9.89),0.0410,0.3973,0.0806 (0.1070),122,294,139.55 (52.60)
no_memory,50,0,0,1.0,4,37,18.64 (13.43),0.6821,0.8961,0.7446 (0.0694),396,449,406.60 (21.42)
All,196,4,0,1.0,1,37,9.71 (10.70),0.0410,1.3029,0.5203 (0.3425),122,545,316.44 (137.50)
