profile,num_found,num_no_diff,num_error,target_recovery_rate,contains_incorrect_variable,min_num_exps,max_num_exps,mean_num_exps,min_runtime,max_runtime,mean_runtime,min_true_var,max_true_var,mean_true_var,min_true_val,max_true_val,mean_true_val,min_real_var,max_real_var,mean_real_var
frustrated,47,3,0,0.70 (0.46),2,1.0,4.0,1.21 (0.69),5.2257,30.7802,12.2188 (5.5044),0.0,1.0,0.65 (0.46),0.0,1.0,0.59 (0.49),0.25,1.0,0.97 (0.13)
no_attention,50,0,0,0.54 (0.50),2,1,3,1.04 (0.28),6.1046,41.8654,13.9579 (8.0703),0.0,1.0,0.71 (0.45),0.0,1.0,0.69 (0.47),0.0,1.0,0.96 (0.20)
no_reactivity,49,1,0,0.57 (0.50),2,1.0,3.0,1.04 (0.29),4.9088,55.6302,16.6442 (11.0835),0.0,1.0,0.58 (0.49),0.0,1.0,0.79 (0.41),0.0,1.0,0.96 (0.20)
no_memory,49,0,1,0.00 (0.00),2,1.0,2.0,1.02 (0.14),5.7506,95.2549,14.4612 (13.1385),0.0,1.0,0.44 (0.50),0.0,1.0,0.11 (0.31),0.0,1.0,0.96 (0.20)
All,195,4,1,0.45 (0.50),8,1.0,4.0,1.08 (0.41),4.9088,95.2549,14.3402 (9.9605),0.0,1.0,0.59 (0.48),0.0,1.0,0.58 (0.49),0.0,1.0,0.96 (0.18)
